,Resale-Cat,model,fuel_type,vehicle_class,displ,cyl,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
40,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,5,16.0,22.0,18.0,4,No,493.0,537013,550311,94829
41,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,6,16.0,22.0,18.0,4,No,493.0,537013,550311,94829
42,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,5,16.0,21.0,18.0,4,No,489.0,537013,550311,94829
43,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,6,16.0,21.0,18.0,4,No,489.0,537013,550311,94829
44,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,5,15.0,21.0,17.0,3,No,523.0,537013,550311,94829
45,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,523.0,537013,550311,94829
46,High,CHEVROLET Silverado 15,Gasoline,pickup,6.2,8.0,Auto-8,2WD,6,15.0,21.0,17.0,3,No,527.0,537013,550311,94829
47,High,CHEVROLET Silverado 15,Gasoline,pickup,6.2,8.0,Auto-8,2WD,6,15.0,21.0,17.0,3,No,527.0,537013,550311,94829
48,High,CHEVROLET Silverado 15,Gasoline,pickup,6.2,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,521.0,537013,550311,94829
49,High,CHEVROLET Silverado 15,Gasoline,pickup,6.2,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,521.0,537013,550311,94829
50,Low,FIAT 500,Gasoline,small car,1.4,4.0,Auto-6,2WD,5,24.0,32.0,27.0,6,No,322.0,14380,11467,4916
51,Low,FIAT 500,Gasoline,small car,1.4,4.0,Auto-6,2WD,6,24.0,32.0,27.0,6,No,322.0,14380,11467,4916
52,Low,FIAT 500,Gasoline,small car,1.4,4.0,Auto-6,2WD,5,27.0,34.0,30.0,7,No,295.0,14380,11467,4916
53,Low,FIAT 500,Gasoline,small car,1.4,4.0,Auto-6,2WD,6,27.0,34.0,30.0,7,Yes,295.0,14380,11467,4916
54,Low,FIAT 500,Gasoline,small car,1.4,4.0,Man-5,2WD,5,28.0,34.0,30.0,7,No,295.0,14380,11467,4916
55,Low,FIAT 500,Gasoline,small car,1.4,4.0,Man-5,2WD,6,28.0,34.0,30.0,7,Yes,295.0,14380,11467,4916
56,Low,FIAT 500,Gasoline,small car,1.4,4.0,Man-5,2WD,5,31.0,40.0,34.0,8,Yes,259.0,14380,11467,4916
57,Low,FIAT 500,Gasoline,small car,1.4,4.0,Man-5,2WD,6,31.0,40.0,34.0,8,Yes,259.0,14380,11467,4916
58,Low,FIAT 500 Abarth,Gasoline,small car,1.4,4.0,Auto-6,2WD,5,24.0,32.0,27.0,6,No,322.0,14380,11467,4916
59,Low,FIAT 500 Abarth,Gasoline,small car,1.4,4.0,Auto-6,2WD,6,24.0,32.0,27.0,6,No,322.0,14380,11467,4916
60,Low,FIAT 500 Abarth,Gasoline,small car,1.4,4.0,Man-5,2WD,5,28.0,34.0,30.0,7,No,295.0,14380,11467,4916
61,Low,FIAT 500 Abarth,Gasoline,small car,1.4,4.0,Man-5,2WD,6,28.0,34.0,30.0,7,Yes,295.0,14380,11467,4916
62,Low,FIAT 500L,Gasoline,station wagon,1.4,4.0,Auto-6,2WD,5,22.0,30.0,25.0,6,No,351.0,14380,11467,4916
63,Low,FIAT 500L,Gasoline,station wagon,1.4,4.0,Auto-6,2WD,6,22.0,30.0,25.0,6,No,351.0,14380,11467,4916
64,Low,FIAT 500L,Gasoline,station wagon,1.4,4.0,Man-6,2WD,5,25.0,33.0,28.0,7,No,312.0,14380,11467,4916
65,Low,FIAT 500L,Gasoline,station wagon,1.4,4.0,Man-6,2WD,6,25.0,33.0,28.0,7,Yes,312.0,14380,11467,4916
66,Low,FIAT 500X,Gasoline,small SUV,1.4,4.0,Man-6,2WD,5,25.0,34.0,28.0,7,No,313.0,14380,11467,4916
67,Low,FIAT 500X,Gasoline,small SUV,1.4,4.0,Man-6,2WD,6,25.0,34.0,28.0,7,Yes,313.0,14380,11467,4916
