Resale_Cat,fuel_type,vehicle_class,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
1,1,0,6,1,5,16,25,2,4,1,459,12071,8731,7909
1,1,5,4,0,6,25,33,0,7,2,312,14380,11467,4916
1,1,0,6,0,9,18,27,2,5,1,414,3542,2553,1348
1,0,1,0,0,10,126,101,0,10,0,0,13251,10458,14565
0,1,4,5,1,6,17,21,1,4,1,478,104456,119597,130025
0,1,2,3,0,5,16,22,1,3,1,497,207299,204211,30244
0,1,3,1,1,6,17,21,1,3,1,481,180991,179188,228293
0,1,2,2,0,6,19,26,2,5,1,410,23666,32068,28486
