Resale-Cat,fuel_type,vehicle_class,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
0,2,2,2,0,6,15.0,20.0,1,4,1,453.0,207299,204211,30244
0,2,2,2,0,6,15.0,20.0,1,4,1,453.0,207299,204211,30244
0,2,2,2,1,6,14.5,18.5,1,4,1,480.0,207299,204211,30244
0,2,2,2,1,6,14.5,18.5,1,4,1,480.0,207299,204211,30244
0,2,2,2,0,5,14.0,20.0,1,4,1,470.5,207299,204211,30244
0,2,2,2,0,6,14.0,20.0,1,4,1,470.5,207299,204211,30244
0,3,2,2,0,5,16.0,23.0,1,4,1,479.0,207299,204211,30244
0,3,5,2,0,5,15.0,20.0,1,3,1,523.0,207299,204211,30244
0,3,2,2,0,6,16.0,23.0,1,4,1,479.0,207299,204211,30244
0,3,5,2,0,6,15.0,20.0,1,3,1,523.0,207299,204211,30244
0,2,2,2,1,5,13.5,18.0,1,4,1,524.5,207299,204211,30244
0,2,2,2,1,6,13.5,18.0,1,4,1,524.5,207299,204211,30244
0,3,2,2,1,5,16.0,22.0,1,4,1,495.0,207299,204211,30244
0,3,5,2,1,5,15.0,19.0,1,3,1,523.0,207299,204211,30244
0,3,2,2,1,6,16.0,22.0,1,4,1,495.0,207299,204211,30244
0,3,5,2,1,6,15.0,19.0,1,3,1,523.0,207299,204211,30244
0,3,2,3,0,5,18.0,24.0,1,4,1,446.0,207299,204211,30244
0,3,2,3,0,6,18.0,24.0,1,4,1,446.0,207299,204211,30244
0,3,2,3,0,5,16.0,22.0,1,4,1,493.0,207299,204211,30244
0,3,2,3,0,6,16.0,22.0,1,4,1,493.0,207299,204211,30244
0,3,2,3,1,5,16.0,21.0,1,4,1,489.0,207299,204211,30244
0,3,2,3,1,6,16.0,21.0,1,4,1,489.0,207299,204211,30244
0,3,2,3,1,5,15.0,21.0,1,3,1,523.0,207299,204211,30244
0,3,2,3,1,6,15.0,21.0,1,3,1,523.0,207299,204211,30244
0,3,2,3,0,6,15.0,21.0,1,3,1,522.0,207299,204211,30244
0,3,2,3,0,6,15.0,21.0,1,3,1,522.0,207299,204211,30244
0,3,2,3,1,6,15.0,21.0,1,3,1,521.0,207299,204211,30244
0,3,2,3,1,6,15.0,21.0,1,3,1,521.0,207299,204211,30244
1,3,0,7,0,7,18.0,27.0,1,5,1,414.0,3542,2553,1348
1,3,0,7,0,9,18.0,27.0,1,5,1,414.0,3542,2553,1348
1,3,0,7,1,7,17.0,26.0,1,4,1,443.0,3542,2553,1348
1,3,0,7,1,9,17.0,26.0,1,4,1,443.0,3542,2553,1348
1,3,0,7,0,5,15.0,23.0,1,4,1,504.0,3542,2553,1348
1,3,0,7,0,6,15.0,23.0,1,4,1,504.0,3542,2553,1348
0,3,3,1,1,6,17.0,21.0,1,4,1,482.0,180991,179188,228293
0,3,3,1,1,6,17.0,21.0,1,4,1,482.0,180991,179188,228293
0,3,3,6,1,6,17.0,21.0,1,4,1,481.0,180991,179188,228293
0,3,3,6,1,6,17.0,21.0,1,4,1,481.0,180991,179188,228293
0,3,3,1,1,6,16.0,20.0,1,4,1,505.0,180991,179188,228293
0,3,3,1,1,6,16.0,20.0,1,4,1,505.0,180991,179188,228293
0,3,3,6,1,6,16.0,21.0,1,4,1,503.0,180991,179188,228293
1,3,0,7,0,6,21.0,29.0,2,5,1,371.0,12071,8731,7909
1,3,0,7,0,6,21.0,29.0,2,5,1,371.0,12071,8731,7909
